ID,F_NAME,L_NAME,DEPARTMENT,SALARY,STATE,CITY
16,Yujvendra,Chahal,Maintainance ,152000,Maharashtra,Satara
17,Cheteshwar,Pujara,Store,142000,Maharashtra,Pune
18,Ishant,Sharma,Maintainance ,192000,Maharashtra,Nagpur
19,kuldip,Yadav,Engineer,136000,Karnataka,Udupi
20,mohmmad,Shami,Engineer,154000,Karnataka,Bengaluru
21,Hardik,Pandya,Engineer,135000,Punjab,Patiala
22,Shardul,Thakur,Sales,162000,Karnataka,Bengaluru
23,Shikhar,Dhawan,Hr,149000,Maharashtra,Mumbai
24,Umesh,Yadav,Purchase,196000,Maharashtra,Satara
25,Shreyash,Iyar,Engineer,182000,Tamilnadu,Vellore
26,Shrikar,Bharat,Store,167000,Gujrat,Ahmedabad
27,Ajinkya,Rahane,Purchase,130000,Tamilnadu,Chennai
28,Ruturaj,Gaykwad,Hr,180000,Gujrat,Surat
29,Axar,Patel,Purchase,175000,Gujrat,Surat
30,Sanju,Sanson,Maintainance ,140000,Punjab,Patiala
31,Kapil,Dev,Hr ,ad130000,Punjab,Amrutsar
